            Frequency	      V(Ekte_firkant)
                    0	1.88761894660048e-005
        9.99999999998	3.77523789061842e-005
       19.99999999996	3.77523788287079e-005
       29.99999999994	3.77523786995809e-005
       39.99999999992	 3.7752378518803e-005
        49.9999999999	3.77523782863743e-005
       59.99999999988	3.77523780022948e-005
       69.99999999986	3.77523776665645e-005
       79.99999999984	3.77523772791831e-005
       89.99999999982	3.77523768401512e-005
        99.9999999998	3.77523763494684e-005
      109.99999999978	3.77523758071348e-005
      119.99999999976	3.77523752131502e-005
      129.99999999974	3.77523745675151e-005
      139.99999999972	3.77523738702289e-005
       149.9999999997	3.77523731212922e-005
      159.99999999968	3.77523723207039e-005
      169.99999999966	3.77523714684655e-005
      179.99999999964	3.77523705645761e-005
      189.99999999962	3.77523696090361e-005
       199.9999999996	3.77523686018449e-005
      209.99999999958	3.77523675430033e-005
      219.99999999956	3.77523664325107e-005
      229.99999999954	3.77523652703676e-005
      239.99999999952	3.77523640565729e-005
       249.9999999995	3.77523627911282e-005
      259.99999999948	3.77523614740324e-005
      269.99999999946	3.77523601052861e-005
      279.99999999944	3.77523586848884e-005
      289.99999999942	3.77523572128406e-005
       299.9999999994	3.77523556891417e-005
      309.99999999938	3.77523541137923e-005
      319.99999999936	3.77523524867905e-005
      329.99999999934	3.77523508081396e-005
      339.99999999932	3.77523490778376e-005
       349.9999999993	3.77523472958852e-005
      359.99999999928	3.77523454622813e-005
      369.99999999926	3.77523435770274e-005
      379.99999999924	3.77523416401224e-005
      389.99999999922	 3.7752339651567e-005
       399.9999999992	3.77523376113596e-005
      409.99999999918	3.77523355195028e-005
      419.99999999916	3.77523333759949e-005
      429.99999999914	3.77523311808366e-005
      439.99999999912	3.77523289340268e-005
       449.9999999991	3.77523266355671e-005
      459.99999999908	3.77523242854563e-005
      469.99999999906	3.77523218836953e-005
      479.99999999904	3.77523194302815e-005
      489.99999999902	3.77523169252191e-005
        499.999999999	3.77523143685055e-005
      509.99999999898	3.77523117601417e-005
      519.99999999896	3.77523091001262e-005
      529.99999999894	3.77523063884611e-005
      539.99999999892	3.77523036251448e-005
       549.9999999989	3.77523008101785e-005
      559.99999999888	3.77522979435597e-005
      569.99999999886	 3.7752295025292e-005
      579.99999999884	3.77522920553732e-005
      589.99999999882	3.77522890338043e-005
       599.9999999988	3.77522859605835e-005
      609.99999999878	3.77522828357134e-005
      619.99999999876	3.77522796591921e-005
      629.99999999874	3.77522764310208e-005
      639.99999999872	3.77522731511948e-005
       649.9999999987	3.77522698197224e-005
      659.99999999868	3.77522664365986e-005
      669.99999999866	 3.7752263001825e-005
      679.99999999864	3.77522595153994e-005
      689.99999999862	3.77522559773248e-005
       699.9999999986	3.77522523875988e-005
      709.99999999858	3.77522487462231e-005
      719.99999999856	3.77522450531945e-005
      729.99999999854	3.77522413085177e-005
      739.99999999852	3.77522375121897e-005
       749.9999999985	3.77522336642119e-005
      759.99999999848	 3.7752229764582e-005
      769.99999999846	3.77522258133033e-005
      779.99999999844	3.77522218103733e-005
      789.99999999842	3.77522177557937e-005
       799.9999999984	3.77522136495601e-005
      809.99999999838	3.77522094916796e-005
      819.99999999836	3.77522052821478e-005
      829.99999999834	3.77522010209664e-005
      839.99999999832	3.77521967081328e-005
       849.9999999983	3.77521923436506e-005
      859.99999999828	3.77521879275171e-005
      869.99999999826	3.77521834597342e-005
      879.99999999824	 3.7752178940298e-005
      889.99999999822	3.77521743692143e-005
       899.9999999982	3.77521697464793e-005
      909.99999999818	 3.7752165072095e-005
      919.99999999816	3.77521603460583e-005
      929.99999999814	3.77521555683733e-005
      939.99999999812	 3.7752150739037e-005
       949.9999999981	3.77521458580514e-005
      959.99999999808	3.77521409254104e-005
      969.99999999806	3.77521359411242e-005
      979.99999999804	3.77521309051867e-005
      989.99999999802	   3.77521258176e-005
        999.999999998	 3.7752120678361e-005
     1009.99999999798	3.77521154874738e-005
     1019.99999999796	3.77521102449354e-005
     1029.99999999794	3.77521049507479e-005
     1039.99999999792	3.77520996049068e-005
